emoji,sentiment_score,positive,neutral,negative,description
😂,0.22096840377513338,0.46813021474490496,0.28470797428532346,0.24716181096977158,FACE WITH TEARS OF JOY
❤,0.7460869565217392,0.7901863354037267,0.1657142857142857,0.044099378881987575,HEAVY BLACK HEART
♥,0.6576147816349384,0.6928891377379619,0.27183650615901456,0.03527435610302351,BLACK HEART SUIT
😍,0.6779367825129737,0.7296744771190439,0.218587828274886,0.05173769460607014,SMILING FACE WITH HEART-SHAPED EYES
😭,-0.09337676438653641,0.34310532030401736,0.22041259500542887,0.4364820846905538,LOUDLY CRYING FACE
😘,0.7017543859649124,0.7546600877192983,0.1924342105263158,0.05290570175438596,FACE THROWING A KISS
😊,0.6446955430006278,0.7040175768989329,0.23666038920276208,0.059322033898305086,SMILING FACE WITH SMILING EYES
👌,0.5637606837606838,0.6574358974358975,0.24888888888888888,0.09367521367521367,OK HAND SIGN
💕,0.6329166666666667,0.6741666666666667,0.28458333333333335,0.04125,TWO HEARTS
👏,0.5205479452054794,0.6245719178082192,0.2714041095890411,0.10402397260273973,CLAPPING HANDS SIGN
😁,0.4499771585198721,0.5769757880310644,0.29602558245774324,0.1269986295111923,GRINNING FACE WITH SMILING EYES
☺,0.6580989330746847,0.7201745877788555,0.2177497575169738,0.06207565470417071,WHITE SMILING FACE
♡,0.669873417721519,0.7215189873417721,0.22683544303797468,0.051645569620253164,WHITE HEART SUIT
👍,0.5221143473570657,0.6370010787486515,0.2481121898597627,0.11488673139158576,THUMBS UP SIGN
😩,-0.36836283185840707,0.22289823008849557,0.18584070796460178,0.5912610619469026,WEARY FACE
🙏,0.41780376868096164,0.4983755685510071,0.42105263157894735,0.08057179987004548,PERSON WITH FOLDED HANDS
✌,0.46414602346805733,0.5769230769230769,0.31029986962190353,0.11277705345501955,VICTORY HAND
😏,0.33245729303547966,0.44415243101182655,0.44415243101182655,0.1116951379763469,SMIRKING FACE
😉,0.46416831032215644,0.5634451019066403,0.33727810650887574,0.0992767915844839,WINKING FACE
🙌,0.5604249667994687,0.6613545816733067,0.23771580345285526,0.10092961487383798,PERSON RAISING BOTH HANDS IN CELEBRATION
🙈,0.4326923076923077,0.5961538461538461,0.2403846153846154,0.16346153846153846,SEE-NO-EVIL MONKEY
💪,0.5557132718239886,0.6273953158268275,0.30092264017033354,0.0716820440028389,FLEXED BICEPS
😄,0.4220314735336195,0.5586552217453505,0.30472103004291845,0.13662374821173104,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😒,-0.3747292418772563,0.21660649819494585,0.192057761732852,0.5913357400722021,UNAMUSED FACE
💃,0.7358630952380952,0.7797619047619048,0.17633928571428573,0.04389880952380952,DANCER
💖,0.7133808392715756,0.7561361836896279,0.20110847189231987,0.04275534441805225,SPARKLING HEART
😃,0.5580431177446102,0.6293532338308457,0.29933665008291876,0.07131011608623548,SMILING FACE WITH OPEN MOUTH
😔,-0.1460580912863071,0.31784232365145226,0.21825726141078838,0.46390041493775935,PENSIVE FACE
😱,0.19026548672566368,0.4539823008849557,0.28230088495575223,0.26371681415929205,FACE SCREAMING IN FEAR
🎉,0.7395555555555555,0.7777777777777778,0.184,0.03822222222222222,PARTY POPPER
😜,0.4560386473429952,0.5671497584541063,0.3217391304347826,0.1111111111111111,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
☯,0.0010080645161290322,0.006048387096774193,0.9889112903225806,0.005040322580645161,YIN YANG
🌸,0.6522198731501057,0.6913319238900634,0.26955602536997886,0.039112050739957716,CHERRY BLOSSOM
💜,0.6560170394036209,0.6996805111821086,0.2566560170394036,0.043663471778487756,PURPLE HEART
💙,0.7324561403508771,0.7642543859649122,0.20394736842105263,0.03179824561403509,BLUE HEART
✨,0.35259433962264153,0.4033018867924528,0.5459905660377359,0.05070754716981132,SPARKLES
😳,0.017730496453900735,0.34515366430260047,0.32742316784869974,0.32742316784869974,FLUSHED FACE
💗,0.6590909090909091,0.7093301435406698,0.24043062200956938,0.050239234449760764,GROWING HEART
★,0.28381642512077293,0.3140096618357488,0.6557971014492754,0.030193236714975844,BLACK STAR
█,-0.03258145363408521,0.05639097744360902,0.8546365914786967,0.08897243107769423,FULL BLOCK
